ROLLNO	MCA591	SGPA
10801018001	O	9.61
10801018002	O	10
10801018003	O	9.74
10801018004	E	9.58
10801018005	O	10
10801018006	O	9.61
10801018007	O	9.74
10801018008	E	9.58
10801018009	E	9.71
10801018010	O	10
10801018011	O	10
10801018012	E	9.58
10801018013	E	9.71
10801018014	E	9.58
10801018015	O	10
10801018016	E	9.35
10801018017	O	9.65
10801018018	E	9.71
10801018019	O	9.87
10801018020	E	9.58
10801018021	E	8.48
10801018022	E	9
10801018023	E	9.58
10801018024	E	9.45
10801018025	E	9.35
10801019006	O	9.39
10801019013	E	8.48
10801019014	E	9.45
10801019015	O	10
10801019016	O	10
10801019017	E	9.71
10801019018	E	8.58
10801019019	E	9.71
10801019020	E	9.48
10801019021	E	9.71
10801019022	O	10
